Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,9.357609E+04,3.587966E+05,4.829843E+00,2.043586E+01,8.269467E+04,1.703236E+06,3.861592E+00,1.263378E+02,5.669037E+04,9.905829E+04,2.280966E+00,6.971679E+00,8.781068E+04,9.730645E+04,3.537905E+00,6.848396E+00
02:00:00,9.357483E+04,2.544843E+05,4.829774E+00,1.449752E+01,8.273169E+04,9.760875E+05,3.863273E+00,5.583522E+01,1.086352E+05,1.083763E+05,4.365573E+00,7.627547E+00,1.335267E+05,1.063081E+05,5.365668E+00,7.482008E+00
03:00:00,9.357508E+04,2.917202E+05,4.829783E+00,1.661685E+01,8.279195E+04,1.071420E+06,3.866036E+00,6.103531E+01,1.321803E+05,1.158201E+05,5.311347E+00,8.151481E+00,1.595642E+05,1.135575E+05,6.411358E+00,7.992267E+00
04:00:00,9.357518E+04,3.348625E+05,4.829788E+00,1.912660E+01,8.284639E+04,1.059325E+06,3.868577E+00,6.047449E+01,1.566531E+05,1.221336E+05,6.294293E+00,8.597448E+00,1.831039E+05,1.196481E+05,7.356662E+00,8.422576E+00
05:00:00,9.357546E+04,3.549321E+05,4.829803E+00,2.029304E+01,8.290261E+04,1.106241E+06,3.871202E+00,6.319594E+01,1.769767E+05,1.285714E+05,7.110489E+00,9.050781E+00,2.031782E+05,1.259409E+05,8.162812E+00,8.865710E+00
06:00:00,9.357977E+04,8.440918E+05,4.830034E+00,5.917095E+01,8.302376E+04,1.466526E+06,3.876973E+00,9.284016E+01,4.376722E+05,2.577779E+05,1.867326E+01,1.924621E+01,4.653225E+05,2.562862E+05,1.986385E+01,1.913420E+01
07:00:00,9.357969E+04,1.261838E+06,4.830032E+00,1.048240E+02,8.306879E+04,1.921872E+06,3.879099E+00,1.366166E+02,6.358405E+05,4.181675E+05,2.980282E+01,3.302125E+01,6.655404E+05,4.176932E+05,3.120290E+01,3.298452E+01
08:00:00,9.357859E+04,1.312576E+06,4.829973E+00,1.141992E+02,8.309630E+04,1.907390E+06,3.880362E+00,1.407776E+02,7.774851E+05,5.675958E+05,3.913116E+01,4.770533E+01,8.081056E+05,5.700801E+05,4.067279E+01,4.791631E+01
09:00:00,9.357519E+04,1.290186E+06,4.829797E+00,1.128920E+02,8.308075E+04,1.875941E+06,3.879629E+00,1.392799E+02,6.483182E+05,5.304724E+05,3.345049E+01,4.630998E+01,6.785039E+05,5.350401E+05,3.500694E+01,4.670984E+01
10:00:00,9.357625E+04,1.274024E+06,4.829844E+00,1.115359E+02,8.314136E+04,1.859464E+06,3.882355E+00,1.381527E+02,6.266577E+05,5.418736E+05,3.233158E+01,4.732697E+01,6.566094E+05,5.477972E+05,3.387569E+01,4.784557E+01
