Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
00:15:00,1.003564E+05,8.988428E+05,5.179803E+00,7.838204E+01,8.390741E+04,1.708216E+06,3.918256E+00,1.267692E+02,0.000000E+00,8.404700E+04,0.000000E+00,5.914985E+00,0.000000E+00,5.579820E+04,0.000000E+00,3.927068E+00
00:30:00,1.003567E+05,6.019996E+05,5.179822E+00,5.240363E+01,8.373570E+04,1.705602E+06,3.910228E+00,1.265365E+02,0.000000E+00,8.605355E+04,0.000000E+00,6.056163E+00,0.000000E+00,5.706267E+04,0.000000E+00,4.016022E+00
00:45:00,1.003566E+05,3.230423E+05,5.179813E+00,2.747223E+01,8.355655E+04,1.703805E+06,3.901862E+00,1.263746E+02,0.000000E+00,8.780427E+04,0.000000E+00,6.179341E+00,0.000000E+00,5.831328E+04,0.000000E+00,4.104001E+00
01:00:00,1.003566E+05,6.517690E+04,5.179816E+00,3.730860E+00,8.338461E+04,1.702444E+06,3.893832E+00,1.262573E+02,0.000000E+00,8.962092E+04,0.000000E+00,6.307167E+00,0.000000E+00,5.979025E+04,0.000000E+00,4.207917E+00
01:15:00,1.003567E+05,1.059933E+05,5.179817E+00,6.052806E+00,8.339840E+04,1.431800E+06,3.894476E+00,1.035584E+02,0.000000E+00,9.233446E+04,0.000000E+00,6.498134E+00,0.000000E+00,6.235797E+04,0.000000E+00,4.388627E+00
01:30:00,1.003567E+05,1.592396E+05,5.179818E+00,9.083599E+00,8.341194E+04,1.194615E+06,3.895109E+00,8.282803E+01,0.000000E+00,9.513988E+04,0.000000E+00,6.695578E+00,2.775253E+03,6.497647E+04,1.118162E-01,4.572934E+00
01:45:00,1.003567E+05,1.996662E+05,5.179819E+00,1.136620E+01,8.342527E+04,9.687266E+05,3.895731E+00,6.263732E+01,0.000000E+00,9.804716E+04,0.000000E+00,6.900194E+00,1.057388E+04,6.764231E+04,4.252498E-01,4.760589E+00
02:00:00,1.003567E+05,2.226493E+05,5.179820E+00,1.267782E+01,8.343839E+04,7.590347E+05,3.896344E+00,4.335877E+01,0.000000E+00,1.009824E+05,0.000000E+00,7.106789E+00,2.102802E+04,7.032826E+04,8.453973E-01,4.949695E+00
02:15:00,1.003567E+05,2.390218E+05,5.179820E+00,1.361535E+01,8.345130E+04,8.282862E+05,3.896947E+00,4.729413E+01,0.000000E+00,1.039637E+05,0.000000E+00,7.316662E+00,3.499745E+04,7.307022E+04,1.406813E+00,5.142809E+00
02:30:00,1.003567E+05,2.528253E+05,5.179821E+00,1.440634E+01,8.346403E+04,8.690453E+05,3.897541E+00,4.954001E+01,0.000000E+00,1.069408E+05,0.000000E+00,7.526229E+00,4.913797E+04,7.573633E+04,1.974808E+00,5.330564E+00
02:45:00,1.003567E+05,2.642924E+05,5.179821E+00,1.506356E+01,8.347658E+04,9.027006E+05,3.898127E+00,5.147008E+01,0.000000E+00,1.099340E+05,0.000000E+00,7.736900E+00,6.097645E+04,7.838498E+04,2.450535E+00,5.517058E+00
03:00:00,1.003567E+05,2.746504E+05,5.179821E+00,1.565577E+01,8.348895E+04,9.242947E+05,3.898705E+00,5.271145E+01,0.000000E+00,1.129350E+05,0.000000E+00,7.948099E+00,7.268778E+04,8.101478E+04,2.921142E+00,5.702168E+00
03:15:00,1.003567E+05,2.840371E+05,5.179822E+00,1.619233E+01,8.350115E+04,9.419595E+05,3.899275E+00,5.372466E+01,0.000000E+00,1.159265E+05,0.000000E+00,8.158628E+00,8.334056E+04,8.356537E+04,3.349193E+00,5.881703E+00
03:30:00,1.003567E+05,2.927802E+05,5.179822E+00,1.669218E+01,8.351318E+04,9.580421E+05,3.899837E+00,5.464359E+01,0.000000E+00,1.189068E+05,0.000000E+00,8.368369E+00,9.341914E+04,8.604864E+04,3.754165E+00,6.056497E+00
03:45:00,1.003567E+05,3.009825E+05,5.179822E+00,1.716120E+01,8.352505E+04,9.728713E+05,3.900391E+00,5.548900E+01,0.000000E+00,1.218708E+05,0.000000E+00,8.576956E+00,1.030341E+05,8.846081E+04,4.140503E+00,6.226287E+00
04:00:00,1.003568E+05,3.087307E+05,5.179823E+00,1.760434E+01,8.353675E+04,9.866871E+05,3.900937E+00,5.627598E+01,0.000000E+00,1.248145E+05,0.000000E+00,8.784118E+00,1.122753E+05,9.080204E+04,4.511814E+00,6.391083E+00
04:15:00,1.003568E+05,3.160936E+05,5.179823E+00,1.802554E+01,8.354828E+04,9.996750E+05,3.901476E+00,5.701570E+01,0.000000E+00,1.277423E+05,0.000000E+00,8.990160E+00,1.211196E+05,9.312249E+04,4.867183E+00,6.554415E+00
04:30:00,1.003568E+05,3.230957E+05,5.179823E+00,1.842617E+01,8.355966E+04,1.011953E+06,3.902007E+00,5.771504E+01,0.000000E+00,1.306387E+05,0.000000E+00,9.193994E+00,1.295648E+05,9.541330E+04,5.206507E+00,6.715661E+00
04:45:00,1.003568E+05,3.297845E+05,5.179824E+00,1.880896E+01,8.357087E+04,1.023638E+06,3.902531E+00,5.838066E+01,0.000000E+00,1.335064E+05,0.000000E+00,9.395810E+00,1.376442E+05,9.768185E+04,5.531134E+00,6.875339E+00
05:00:00,1.003568E+05,3.363490E+05,5.179824E+00,1.918467E+01,8.358194E+04,1.034966E+06,3.903047E+00,5.902594E+01,0.000000E+00,1.364659E+05,0.000000E+00,9.604083E+00,1.453856E+05,1.000644E+05,5.842178E+00,7.043040E+00
05:15:00,1.003579E+05,3.726010E+05,5.179883E+00,2.137913E+01,8.361112E+04,1.085733E+06,3.904427E+00,6.227492E+01,0.000000E+00,1.034374E+05,0.000000E+00,7.279629E+00,2.685985E+05,7.591687E+04,1.106373E+01,5.343418E+00
05:30:00,1.003567E+05,4.056614E+05,5.179825E+00,2.349807E+01,8.360192E+04,1.131688E+06,3.904017E+00,6.549046E+01,0.000000E+00,6.970118E+04,0.000000E+00,4.905369E+00,2.971836E+05,5.120492E+04,1.244221E+01,3.604066E+00
05:45:00,1.003572E+05,4.389643E+05,5.179851E+00,2.563888E+01,8.362238E+04,1.176029E+06,3.904972E+00,6.862862E+01,0.000000E+00,3.526007E+04,0.000000E+00,2.481502E+00,3.717795E+05,2.593888E+04,1.584102E+01,1.825713E+00
06:00:00,1.003571E+05,4.712180E+05,5.179843E+00,2.772310E+01,8.363028E+04,1.219102E+06,3.905341E+00,7.170175E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.306183E+05,0.000000E+00,1.855591E+01,0.000000E+00
06:15:00,1.003571E+05,7.185795E+05,5.179841E+00,4.772384E+01,8.364029E+04,1.467334E+06,3.905809E+00,9.285630E+01,2.175809E+04,1.788737E+05,1.029382E+00,1.253282E+01,4.788875E+05,1.395993E+05,2.145450E+01,9.794516E+00
06:30:00,1.003570E+05,8.926946E+05,5.179841E+00,6.623041E+01,8.365022E+04,1.624948E+06,3.906272E+00,1.091339E+02,2.175809E+04,2.389146E+05,1.029382E+00,1.734600E+01,5.550376E+05,1.993389E+05,2.538949E+01,1.458374E+01
06:45:00,1.003570E+05,1.174067E+06,5.179840E+00,9.423826E+01,8.366004E+04,1.842326E+06,3.906731E+00,1.298915E+02,3.670216E+04,3.802738E+05,1.747891E+00,2.867855E+01,6.205372E+05,3.354969E+05,2.901731E+01,2.550130E+01
07:00:00,1.003570E+05,1.417355E+06,5.179840E+00,1.189127E+02,8.366976E+04,2.036564E+06,3.907185E+00,1.489578E+02,4.777390E+04,4.968159E+05,2.280101E+00,3.802236E+01,6.844197E+05,4.486523E+05,3.250783E+01,3.457650E+01
07:15:00,1.003569E+05,1.408159E+06,5.179835E+00,1.231843E+02,8.367823E+04,1.977464E+06,3.907579E+00,1.467233E+02,8.708519E+04,4.967771E+05,4.226531E+00,4.046282E+01,7.288375E+05,4.876794E+05,3.558889E+01,3.974111E+01
07:30:00,1.003570E+05,1.470102E+06,5.179839E+00,1.286031E+02,8.368894E+04,2.007574E+06,3.908078E+00,1.489774E+02,1.027312E+05,5.798864E+05,5.034080E+00,4.814784E+01,7.828781E+05,5.718837E+05,3.887426E+01,4.752097E+01
07:45:00,1.003570E+05,1.419537E+06,5.179837E+00,1.241248E+02,8.369765E+04,1.973118E+06,3.908484E+00,1.464184E+02,1.475961E+05,5.963829E+05,7.402449E+00,5.059891E+01,8.205789E+05,5.954271E+05,4.144831E+01,5.055045E+01
08:00:00,1.003570E+05,1.404096E+06,5.179837E+00,1.227407E+02,8.370701E+04,1.957689E+06,3.908921E+00,1.452693E+02,1.810539E+05,6.309599E+05,9.168275E+00,5.445074E+01,8.609433E+05,6.361398E+05,4.410487E+01,5.491336E+01
08:15:00,1.003559E+05,1.392548E+06,5.179781E+00,1.217467E+02,8.369890E+04,1.945644E+06,3.908528E+00,1.443919E+02,1.641820E+05,6.010594E+05,8.473454E+00,5.248218E+01,8.090815E+05,6.101314E+05,4.175015E+01,5.328279E+01
08:30:00,1.003570E+05,1.382848E+06,5.179836E+00,1.209231E+02,8.372656E+04,1.934861E+06,3.909801E+00,1.436180E+02,1.918490E+05,6.052916E+05,9.901272E+00,5.285310E+01,8.085969E+05,6.182528E+05,4.172387E+01,5.399379E+01
08:45:00,1.003565E+05,1.374905E+06,5.179812E+00,1.202371E+02,8.372616E+04,1.925813E+06,3.909782E+00,1.429546E+02,1.746266E+05,5.932768E+05,9.012298E+00,5.180399E+01,7.839143E+05,6.101827E+05,4.045019E+01,5.328887E+01
09:00:00,1.003567E+05,1.367717E+06,5.179819E+00,1.196127E+02,8.373725E+04,1.917538E+06,3.910300E+00,1.423435E+02,1.720735E+05,5.866888E+05,8.880692E+00,5.122850E+01,7.691950E+05,6.078323E+05,3.969103E+01,5.308296E+01
09:15:00,1.003567E+05,1.361066E+06,5.179821E+00,1.190329E+02,8.374615E+04,1.909868E+06,3.910715E+00,1.417754E+02,1.693172E+05,5.810562E+05,8.738512E+00,5.073659E+01,7.565452E+05,6.066854E+05,3.903840E+01,5.298254E+01
09:30:00,1.003567E+05,1.354726E+06,5.179821E+00,1.184793E+02,8.375484E+04,1.902604E+06,3.911122E+00,1.412368E+02,1.669626E+05,5.757716E+05,8.617051E+00,5.027515E+01,7.452256E+05,6.061151E+05,3.845429E+01,5.293270E+01
09:45:00,1.003567E+05,1.348551E+06,5.179822E+00,1.179398E+02,8.376338E+04,1.895597E+06,3.911520E+00,1.407171E+02,1.648974E+05,5.710054E+05,8.510516E+00,4.985899E+01,7.349574E+05,6.062157E+05,3.792441E+01,5.294151E+01
10:00:00,1.003568E+05,1.342438E+06,5.179823E+00,1.174057E+02,8.377178E+04,1.888741E+06,3.911913E+00,1.402085E+02,1.630313E+05,5.663951E+05,8.414244E+00,4.945645E+01,7.255147E+05,6.065533E+05,3.743713E+01,5.297102E+01
10:15:00,1.003568E+05,1.336320E+06,5.179823E+00,1.168710E+02,8.378006E+04,1.881958E+06,3.912299E+00,1.397052E+02,1.613099E+05,5.617823E+05,8.325432E+00,4.905368E+01,7.167408E+05,6.069112E+05,3.698437E+01,5.300229E+01
10:30:00,1.003568E+05,1.330157E+06,5.179823E+00,1.163323E+02,8.378820E+04,1.875196E+06,3.912679E+00,1.392035E+02,1.596983E+05,5.571108E+05,8.242283E+00,4.864578E+01,7.085276E+05,6.071824E+05,3.656054E+01,5.302598E+01
10:45:00,1.003568E+05,1.323941E+06,5.179824E+00,1.157890E+02,8.379625E+04,1.868435E+06,3.913055E+00,1.387018E+02,1.581656E+05,5.521791E+05,8.163199E+00,4.821516E+01,7.007608E+05,6.071184E+05,3.615974E+01,5.302039E+01
11:00:00,1.003568E+05,1.317684E+06,5.179824E+00,1.152421E+02,8.380419E+04,1.861677E+06,3.913426E+00,1.382004E+02,1.566984E+05,5.471131E+05,8.087496E+00,4.777281E+01,6.933967E+05,6.068071E+05,3.577973E+01,5.299320E+01
11:15:00,1.003568E+05,1.311418E+06,5.179824E+00,1.146945E+02,8.381202E+04,1.854936E+06,3.913791E+00,1.377002E+02,1.552874E+05,5.419691E+05,8.014691E+00,4.732365E+01,6.863983E+05,6.061516E+05,3.541859E+01,5.293595E+01
11:30:00,1.003568E+05,1.305213E+06,5.179825E+00,1.141522E+02,8.381973E+04,1.848276E+06,3.914152E+00,1.372060E+02,1.539246E+05,5.368193E+05,7.944365E+00,4.687399E+01,6.797287E+05,6.051905E+05,3.507442E+01,5.285201E+01
11:45:00,1.003568E+05,1.299167E+06,5.179825E+00,1.136238E+02,8.382734E+04,1.841788E+06,3.914507E+00,1.367246E+02,1.526038E+05,5.317601E+05,7.876211E+00,4.643223E+01,6.733577E+05,6.039930E+05,3.474566E+01,5.274742E+01
12:00:00,1.003568E+05,1.293453E+06,5.179825E+00,1.131244E+02,8.383485E+04,1.835639E+06,3.914858E+00,1.362683E+02,1.513208E+05,5.269555E+05,7.810003E+00,4.601272E+01,6.672602E+05,6.027037E+05,3.443101E+01,5.263482E+01
12:15:00,1.003568E+05,1.288360E+06,5.179826E+00,1.126794E+02,8.384224E+04,1.830102E+06,3.915203E+00,1.358575E+02,1.500723E+05,5.226845E+05,7.745574E+00,4.563979E+01,6.614151E+05,6.016947E+05,3.412939E+01,5.254669E+01
