Time,BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W]
01:00:00,7.067534E+00,1.980286E+05,7.067534E+00,6.631886E+04,1.544152E+05,7.067534E+00,2.157833E+05,7.067534E+00,4.856418E+04,1.609053E+05,7.067534E+00,4.708542E+05,7.067534E+00,0.000000E+00,0.000000E+00
02:00:00,7.067534E+00,2.006705E+05,7.067534E+00,6.367697E+04,1.517081E+05,7.067534E+00,2.184252E+05,7.067534E+00,4.592229E+04,1.520132E+05,7.067534E+00,4.708542E+05,7.067534E+00,0.000000E+00,0.000000E+00
03:00:00,7.067534E+00,2.026519E+05,7.067534E+00,6.169555E+04,1.496778E+05,7.067534E+00,2.204066E+05,7.067534E+00,4.394086E+04,1.454322E+05,7.067534E+00,4.708542E+05,7.067534E+00,0.000000E+00,0.000000E+00
04:00:00,7.067534E+00,2.046334E+05,7.067534E+00,5.971412E+04,1.476475E+05,7.067534E+00,2.223880E+05,7.067534E+00,4.195944E+04,1.389254E+05,7.067534E+00,4.708542E+05,7.067534E+00,0.000000E+00,0.000000E+00
05:00:00,7.067534E+00,2.059543E+05,7.067534E+00,5.839317E+04,1.462940E+05,7.067534E+00,2.237090E+05,7.067534E+00,4.063849E+04,1.346282E+05,7.067534E+00,4.708542E+05,7.067534E+00,0.000000E+00,0.000000E+00
06:00:00,7.067534E+00,2.046334E+05,1.016370E+01,1.024591E+05,2.524045E+05,7.067534E+00,2.223880E+05,9.987207E+00,8.226353E+04,2.390749E+05,7.067534E+00,4.708542E+05,7.067534E+00,0.000000E+00,0.000000E+00
07:00:00,7.067534E+00,2.000100E+05,1.868908E+01,2.020972E+05,4.110744E+05,7.067534E+00,2.177647E+05,1.847181E+01,1.817420E+05,4.105834E+05,7.067534E+00,4.708542E+05,7.067534E+00,0.000000E+00,0.000000E+00
08:00:00,7.067534E+00,1.887820E+05,1.854940E+01,2.048387E+05,3.694761E+05,7.067534E+00,2.065367E+05,1.834388E+01,1.847665E+05,3.962211E+05,7.067534E+00,4.708542E+05,7.067534E+00,0.000000E+00,0.000000E+00
09:00:00,7.067534E+00,1.762330E+05,1.840885E+01,2.156795E+05,3.688983E+05,7.067534E+00,1.939876E+05,1.820934E+01,1.956773E+05,4.224084E+05,7.067534E+00,4.708542E+05,7.067534E+00,0.000000E+00,0.000000E+00
10:00:00,7.067534E+00,1.650049E+05,1.828087E+01,2.254453E+05,3.817973E+05,7.067534E+00,1.827596E+05,1.808209E+01,2.054516E+05,4.356496E+05,7.067534E+00,4.708542E+05,7.067534E+00,0.000000E+00,0.000000E+00
11:00:00,7.067534E+00,1.550978E+05,1.805216E+01,2.327607E+05,3.896859E+05,7.067534E+00,1.728525E+05,1.785544E+01,2.127895E+05,4.436614E+05,7.067534E+00,4.708542E+05,7.067534E+00,0.000000E+00,0.000000E+00
