Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
00:15:00,3.153636E+04,2.084901E+05,1.066430E+00,1.793636E+01,4.454115E+04,2.394336E+05,1.506111E+00,2.052409E+01,1.110985E+05,4.064405E+05,3.513555E+00,3.017094E+01
00:30:00,3.153608E+04,1.504817E+05,1.066420E+00,1.261230E+01,4.454113E+04,1.829622E+05,1.506111E+00,1.501806E+01,1.110985E+05,4.055277E+05,3.513555E+00,3.009208E+01
00:45:00,3.153581E+04,9.619888E+04,1.066411E+00,7.499468E+00,4.454110E+04,1.310378E+05,1.506110E+00,9.764330E+00,1.110985E+05,4.049058E+05,3.513555E+00,3.003571E+01
01:00:00,3.153554E+04,4.581817E+04,1.066402E+00,2.611823E+00,4.454108E+04,8.199620E+04,1.506109E+00,4.680910E+00,1.110985E+05,4.042290E+05,3.513555E+00,2.998236E+01
01:15:00,3.153557E+04,5.178158E+04,1.066403E+00,2.950742E+00,4.454109E+04,9.484887E+04,1.506109E+00,5.411621E+00,1.110985E+05,3.514644E+05,3.513555E+00,2.524575E+01
01:30:00,3.153559E+04,6.013287E+04,1.066404E+00,3.423178E+00,4.454109E+04,1.033200E+05,1.506109E+00,5.884191E+00,1.110985E+05,3.140489E+05,3.513555E+00,2.141026E+01
01:45:00,3.153562E+04,6.535092E+04,1.066405E+00,3.721320E+00,4.454109E+04,1.077162E+05,1.506110E+00,6.137208E+00,1.110985E+05,2.795024E+05,3.513555E+00,1.770502E+01
02:00:00,3.153564E+04,6.713316E+04,1.066406E+00,3.824353E+00,4.454109E+04,1.096582E+05,1.506110E+00,6.251518E+00,1.110985E+05,2.494227E+05,3.513555E+00,1.425229E+01
02:15:00,3.153566E+04,6.903843E+04,1.066406E+00,3.935123E+00,4.454109E+04,1.113730E+05,1.506110E+00,6.355134E+00,1.110985E+05,2.739559E+05,3.513555E+00,1.564993E+01
02:30:00,3.153569E+04,7.059196E+04,1.066407E+00,4.025611E+00,4.454110E+04,1.128183E+05,1.506110E+00,6.442303E+00,1.110985E+05,2.845084E+05,3.513555E+00,1.622241E+01
02:45:00,3.153571E+04,7.192904E+04,1.066408E+00,4.103280E+00,4.454110E+04,1.142972E+05,1.506110E+00,6.529901E+00,1.110985E+05,2.932928E+05,3.513555E+00,1.672520E+01
03:00:00,3.153573E+04,7.315265E+04,1.066409E+00,4.173607E+00,4.454110E+04,1.158567E+05,1.506110E+00,6.619162E+00,1.110985E+05,2.988893E+05,3.513555E+00,1.704565E+01
03:15:00,3.153575E+04,7.426093E+04,1.066409E+00,4.237187E+00,4.454110E+04,1.173134E+05,1.506110E+00,6.702239E+00,1.110985E+05,3.033991E+05,3.513555E+00,1.730332E+01
03:30:00,3.153577E+04,7.532472E+04,1.066410E+00,4.298138E+00,4.454110E+04,1.187849E+05,1.506110E+00,6.786196E+00,1.110985E+05,3.073038E+05,3.513555E+00,1.752594E+01
