Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
356.2683335728992,0,578.8110522500923,0,0,0,0,0,0,0,0,0,0
347.1179181296751,0,681.0418780819572,0,0,0,0,0,0,0,0,0,0
342.3706912829411,0,585.679962501441,0,0,0,0,0,0,0,0,0,0
339.83137523665187,0,387.3948387644043,0,0,0,0,0,0,0,0,0,0
351.35392473865465,0,567.5892257659925,0,0,0,0,0,0,0,0,0,0
382.56590414058763,0,357.2215577706606,0,0,0,0,0,0,0,0,0,0
810.7387850303444,0,452.96516300209566,0,0,0,0,0,0,0,0,0,0
649.3563984405181,0,482.2183525443314,0,0,0,0,0,0,0,0,0,0
767.2371932090168,0,517.4838245851904,0,0,0,0,0,0,0,0,0,0
560.6033137295076,0,440.59716712372716,0,0,0,0,0,0,0,0,0,0
563.0854514642813,0,489.8457092187083,0,0,0,0,0,0,0,0,0,0
562.8659448967194,0,540.9686004340438,0,0,0,0,0,0,0,0,0,0
556.5468758368478,0,434.88010467010685,0,0,0,0,0,0,0,0,0,0
548.318936749987,0,420.2426129334882,0,0,0,0,0,0,0,0,0,0
544.4090567755309,0,388.594738573141,0,0,0,0,0,0,0,0,0,0
563.8828979148088,0,468.1210671423666,0,0,0,0,0,0,0,0,0,0
534.1868762413741,0,444.7524743804393,0,0,0,0,0,0,0,0,0,0
826.232682919012,0,427.71014690914967,0,0,0,0,0,0,0,0,0,0
752.5629268850204,0,552.1487955272687,0,0,0,0,0,0,0,0,0,0
749.4029905847667,0,510.8241588284611,0,0,0,0,0,0,0,0,0,0
931.4848175454792,0,452.51396820555505,0,0,0,0,0,0,0,0,0,0
696.6545783569186,0,518.570661084525,0,0,0,0,0,0,0,0,0,0
513.4177329310062,0,694.973294421644,0,0,0,0,0,0,0,0,0,0
517.9246935043468,0,678.2694304773224,0,0,0,0,0,0,0,0,0,0
356.3153004008492,0,618.6088427362954,0,0,0,0,0,0,0,0,0,0
347.4207975625968,0,893.0410970097352,0,0,0,0,0,0,0,0,0,0
342.61684954013066,0,759.0990245189524,0,0,0,0,0,0,0,0,0,0
340.2791444647607,0,752.6474663770915,0,0,0,0,0,0,0,0,0,0
351.5895775260139,0,732.1626931877183,0,0,0,0,0,0,0,0,0,0
559.207600864907,0,695.7384733367863,0,0,0,0,0,0,0,0,0,0
616.8699947627913,0,710.270339428092,0,0,0,0,0,0,0,0,0,0
845.1866028650379,0,650.6783978398076,0,0,0,0,0,0,0,0,0,0
572.5992631210522,0,634.5587934769866,0,0,0,0,0,0,0,0,0,0
752.2686635479414,0,648.2103768805322,0,0,0,0,0,0,0,0,0,0
563.1968606759707,0,616.2646313811305,0,0,0,0,0,0,0,0,0,0
562.8044536491924,0,524.0581577491563,0,0,0,0,0,0,0,0,0,0
