Time,1 ZONE PVAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 1:Des Heat Cap [W],1 ZONE PVAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 2:Des Heat Cap [W],1 ZONE PVAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV:DesPer 3:Des Heat Cap [W],1 ZONE PVAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 1:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 2:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 3:Des Heat Cap [W],1 ZONE PVAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 1:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 2:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE PVAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 3:Des Heat Cap [W],1 ZONE PVAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE PVAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE PVAV 2:DesPer 3:Des Tot Cool Cap [W]
00:15:00,1.634844E+01,0.000000E+00,2.109669E+01,2.185480E+05,4.792833E+05,1.634844E+01,0.000000E+00,2.095494E+01,1.757210E+05,5.076462E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,2.337339E+01,2.467957E+05,5.304302E+05,1.634844E+01,0.000000E+00,2.314770E+01,2.029155E+05,5.577077E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,3.530851E+01,4.438597E+05,7.300702E+05,7.096615E+00,0.000000E+00,3.466163E+01,4.174236E+05,7.410216E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
00:30:00,1.634844E+01,0.000000E+00,1.634844E+01,1.579905E+05,3.618857E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.169208E+05,3.878358E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.579905E+05,3.618857E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.169208E+05,3.878358E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,3.520810E+01,4.416452E+05,7.274625E+05,7.096615E+00,0.000000E+00,3.456002E+01,4.151974E+05,7.355786E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
00:45:00,1.634844E+01,0.000000E+00,1.634844E+01,1.556988E+05,3.595375E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.146291E+05,3.799966E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.556988E+05,3.595375E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.146291E+05,3.799966E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,3.512848E+01,4.396751E+05,7.249921E+05,7.096615E+00,0.000000E+00,3.447977E+01,4.132224E+05,7.304538E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
01:00:00,1.634844E+01,0.000000E+00,1.634844E+01,1.534071E+05,3.571894E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.123374E+05,3.722020E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.534071E+05,3.571894E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.123374E+05,3.722020E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,3.506089E+01,4.378282E+05,7.228160E+05,7.096615E+00,0.000000E+00,3.441186E+01,4.113737E+05,7.253944E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
01:15:00,1.634844E+01,0.000000E+00,1.634844E+01,1.518793E+05,3.556239E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.108096E+05,3.670304E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.518793E+05,3.556239E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.108096E+05,3.670304E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,2.874844E+01,3.713823E+05,6.950493E+05,7.096615E+00,0.000000E+00,2.815858E+01,3.451736E+05,6.952813E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
01:30:00,1.634844E+01,0.000000E+00,1.634844E+01,1.503515E+05,3.540583E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.092818E+05,3.618784E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.503515E+05,3.540583E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.092818E+05,3.618784E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,2.340332E+01,3.108484E+05,5.949548E+05,7.096615E+00,0.000000E+00,2.285349E+01,2.846786E+05,5.918385E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
01:45:00,1.634844E+01,0.000000E+00,1.634844E+01,1.488237E+05,3.524929E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.077541E+05,3.567460E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.488237E+05,3.524929E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.077541E+05,3.567460E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,1.835376E+01,2.454031E+05,4.955530E+05,7.096615E+00,0.000000E+00,1.784862E+01,2.194208E+05,4.890180E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
02:00:00,1.634844E+01,0.000000E+00,1.634844E+01,1.472959E+05,3.509273E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.062263E+05,3.516330E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.472959E+05,3.509273E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.062263E+05,3.516330E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,1.359883E+01,1.748833E+05,3.599668E+05,7.096615E+00,0.000000E+00,1.313251E+01,1.490758E+05,3.495106E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
02:15:00,1.634844E+01,0.000000E+00,1.634844E+01,1.461501E+05,3.497533E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.050804E+05,3.478110E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.461501E+05,3.497533E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.050804E+05,3.478110E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,1.530531E+01,2.048615E+05,4.192291E+05,7.096615E+00,0.000000E+00,1.482007E+01,1.786627E+05,4.080948E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
02:30:00,1.634844E+01,0.000000E+00,1.634844E+01,1.450043E+05,3.485791E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.039346E+05,3.439999E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.450043E+05,3.485791E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.039346E+05,3.439999E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,1.615647E+01,2.194360E+05,4.453752E+05,7.096615E+00,0.000000E+00,1.567033E+01,1.932069E+05,4.336151E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
02:45:00,1.634844E+01,0.000000E+00,1.634844E+01,1.438584E+05,3.474051E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.027887E+05,3.401996E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.438584E+05,3.474051E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.027887E+05,3.401996E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,1.680652E+01,2.301469E+05,4.621899E+05,7.096615E+00,0.000000E+00,1.631392E+01,2.038061E+05,4.493842E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
03:00:00,1.634844E+01,0.000000E+00,1.634844E+01,1.427126E+05,3.462310E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.016429E+05,3.364100E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.427126E+05,3.462310E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.016429E+05,3.364100E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,1.725288E+01,2.373435E+05,4.722935E+05,7.096615E+00,0.000000E+00,1.675915E+01,2.109831E+05,4.583959E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
03:15:00,1.634844E+01,0.000000E+00,1.634844E+01,1.415667E+05,3.450569E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.004970E+05,3.326312E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.415667E+05,3.450569E+05,1.634844E+01,0.000000E+00,1.634844E+01,1.004970E+05,3.326312E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,1.761773E+01,2.431407E+05,4.803893E+05,7.096615E+00,0.000000E+00,1.712226E+01,2.167504E+05,4.652999E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
03:30:00,1.634844E+01,0.000000E+00,1.634844E+01,1.404209E+05,3.438826E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.935120E+04,3.288630E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.404209E+05,3.438826E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.935120E+04,3.288630E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,1.793861E+01,2.481855E+05,4.875525E+05,7.096615E+00,0.000000E+00,1.744175E+01,2.217711E+05,4.712584E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
03:45:00,1.634844E+01,0.000000E+00,1.634844E+01,1.392750E+05,3.427085E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.820536E+04,3.251055E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.392750E+05,3.427085E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.820536E+04,3.251055E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,1.822493E+01,2.526359E+05,4.938423E+05,7.096615E+00,0.000000E+00,1.772687E+01,2.262009E+05,4.763379E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
04:00:00,1.634844E+01,0.000000E+00,1.634844E+01,1.381292E+05,3.415344E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.705951E+04,3.213587E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,1.634844E+01,0.000000E+00,1.634844E+01,1.381292E+05,3.415344E+05,1.634844E+01,0.000000E+00,1.634844E+01,9.705951E+04,3.213587E+05,1.634844E+01,4.776860E+05,1.634844E+01,0.000000E+00,0.000000E+00,7.096615E+00,0.000000E+00,1.848340E+01,2.566051E+05,4.993714E+05,7.096615E+00,0.000000E+00,1.798427E+01,2.301521E+05,4.806496E+05,7.096615E+00,2.073564E+05,7.096615E+00,0.000000E+00,0.000000E+00
