Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,767.5021833371807,0.0,9018.677426497818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4657533439798906,-0.4217687115545522,-0.6053541134237693,-0.6053541134237693,9.528864285322499,8.708847790148425,12.684851790548805,12.684851790548805,767.5021833371807,767.5021833371807,0.0,852.7802037079786,0.0,767.5021833371807,852.7802037079786
2019/01/01 02:00:00,505.05143283134544,0.0,679.7792280329618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3173552249287741,-0.22744647438865348,-0.14606931448081337,-0.14606931448081337,7.093730534809168,6.073291790921687,5.442089166983706,5.442089166983706,505.05143283134544,505.05143283134544,0.0,561.1682587014949,0.0,505.05143283134544,561.1682587014949
2019/01/01 03:00:00,581.6413099110064,0.0,882.197541230737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3491908161976348,-0.2703600251789713,-0.11474588927134657,-0.11474588927134657,7.53696886910943,6.517855874315146,5.272715618749359,5.272715618749359,581.6413099110064,581.6413099110064,0.0,646.2681221233404,0.0,581.6413099110064,646.2681221233404
2019/01/01 04:00:00,505.094759070801,0.0,799.5740882980356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3407380655054059,-0.235091785461481,0.012723779166141539,0.012723779166141539,7.415087590497436,6.1468297367981535,5.003351322635751,5.003351322635751,505.094759070801,505.094759070801,0.0,561.2163989675566,0.0,505.094759070801,561.2163989675566
2019/01/01 05:00:00,779.3304512466799,0.0,1470.3292353845613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3471732142152583,-0.2162283385359712,0.1747934777310926,0.1747934777310926,7.507600852685158,5.969824466858995,5.633310450288548,5.633310450288548,779.3304512466799,779.3304512466799,0.0,865.9227236074221,0.0,779.3304512466799,865.9227236074221
2019/01/01 06:00:00,1836.8985045242684,0.0,3833.408891424371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3227070728885964,-0.19768234510608382,0.3002277271005975,0.3002277271005975,7.165236093711641,5.810329196349116,6.8730432401524695,6.8730432401524695,1836.8985045242684,1836.8985045242684,0.0,2040.998338360298,0.0,1836.8985045242684,2040.998338360298
2019/01/01 07:00:00,1899.1872145685497,0.0,12023.181422554691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1535746281722735,-0.02565979811852052,0.8135737521711296,0.8135737521711296,5.488735123498003,5.013630134708933,18.958739885248875,18.958739885248875,1899.1872145685497,1899.1872145685497,0.0,2110.2080161872773,0.0,1899.1872145685497,2110.2080161872773
2019/01/01 08:00:00,2921.958184471223,0.0,23418.503048669845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06822854736671147,0.06719615069780657,1.0322247978035255,1.0322247978035255,5.09638371588963,5.093488349681635,27.496008020155315,27.496008020155315,2921.958184471223,2921.958184471223,0.0,3246.6202049680255,0.0,2921.958184471223,3246.6202049680255
2019/01/01 09:00:00,3174.8991440338305,0.0,23510.701400673777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39628257812276374,-0.3403104547527609,-0.18807446018985735,-0.18807446018985735,8.271695068830326,7.409002505321837,5.73335832647183,5.73335832647183,3174.8991440338305,3174.8991440338305,0.0,3527.665715593145,0.0,3174.8991440338305,3527.665715593145
2019/01/01 10:00:00,3495.8660598621045,0.0,23258.850447559566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4249145022250184,-0.37162194574880836,-0.22993824920994954,-0.22993824920994954,8.76473603442517,7.8751448270431155,6.096990069559496,6.096990069559496,3495.8660598621045,3495.8660598621045,0.0,3884.2956220690053,0.0,3495.8660598621045,3884.2956220690053
2019/01/01 11:00:00,4087.466711589523,0.0,24906.75527683796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4169261484880919,-0.3676631532482098,-0.10020498722349291,-0.10020498722349291,8.623644102545938,7.813903825835553,5.207947768715954,5.207947768715954,4087.466711589523,4087.466711589523,0.0,4541.629679543914,0.0,4087.466711589523,4541.629679543914
2019/01/01 12:00:00,4345.020431791377,0.0,24418.694653678973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4112846184076208,-0.36388895906328156,-0.0013601256347665106,-0.0013601256347665106,8.525650397437303,7.75614045756376,5.000038294722216,5.000038294722216,4345.020431791377,4345.020431791377,0.0,4827.800479768197,0.0,4345.020431791377,4827.800479768197
