Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature,ElectricityProduced:Total,Electricity:Load:Total,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid
3545.2057671747298,0.0,7427.08771010187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.458,747.458,305.051,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2550.433207161418,0.0,1207.6566797411574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.301,804.301,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2744.39062852487,0.0,1256.3794083974706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.769,814.769,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2780.108839227317,0.0,1045.984627281196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265.07,1265.07,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
4316.59580235564,0.0,2311.9743311425677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.67,2030.67,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
6928.950367131815,0.0,5351.999246969042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2610.53,2610.53,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
8907.49577707204,0.0,10059.338960900874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2694.99,2694.99,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
9195.68398441891,0.0,19714.016830079545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3051.31,3051.31,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
10411.502857196247,0.0,20413.484192386895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5934,3232.48,3208.89,0.0,0.0,0,0.999999137429852,0,0,0,0,23.5934,0.0,23.5934,0.0,0,0,0,0
11029.679225742364,0.0,19282.43844469035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.008,3783.96,3674.95,0.0,0.0,0,0.999999137429852,0,0,0,0,109.008,0.0,109.008,0.0,0,0,0,0
12911.398229199447,0.0,20089.056040989773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.789,3960.7,3249.91,0.0,0.0,0,0.999999137429852,0,0,0,0,710.789,0.0,710.789,0.0,0,0,0,0
13514.475507723631,0.0,19257.061823606386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.701,3664.04,3509.33,0.0,0.0,0,0.999999137429852,0,0,0,0,154.701,0.0,154.701,0.0,0,0,0,0
12502.212249300364,0.0,17796.97756407098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.333,3793.16,3689.83,0.0,0.0,0,0.999999137429852,0,0,0,0,103.333,0.0,103.333,0.0,0,0,0,0
12942.81807542113,0.0,16461.70133611194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.807,3662.64,3442.83,0.0,0.0,0,0.999999137429852,0,0,0,0,219.807,0.0,219.807,0.0,0,0,0,0
12497.436536169078,0.0,16996.644379984347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18111,3576.52,3572.34,0.0,0.0,0,0.999999137429852,0,0,0,0,4.18111,0.0,4.18111,0.0,0,0,0,0
12203.59471242347,0.0,17938.678791163005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3846.86,3846.86,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
13126.039323509023,0.0,18499.98946701934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3866.9,3736.83,0.0,130.069,0,0.926028356131062,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
13194.408740715591,0.0,18337.000858402454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3674.88,3036.59,0.0,638.295,0,0.563015709127545,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
12539.22258077676,0.0,18008.488697314962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3411.41,2773.12,0.0,638.295,0,0.19999982748597,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
11640.21839048119,0.0,17461.11535508413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3819.84,3819.84,0.0,0.0,0,0.19999982748597,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
13033.832059798528,0.0,17352.187231263524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3197.48,3197.48,0.0,0.0,0,0.19999982748597,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
10910.257084112322,0.0,17907.023900191518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2224.99,2224.99,673.361,0.0,0,0.544109249684731,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
7591.988959726432,0.0,18456.78528622037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1496.28,1496.28,673.361,0.0,0,0.888215437245434,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
5105.5150161214415,0.0,19030.516496837663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.214,960.214,218.738,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3276.3874244054678,0.0,7468.366470911678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.73,1009.73,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3445.3259776374725,0.0,1442.754027475205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.374,804.374,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2744.6370400932115,0.0,1429.7984704149821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.454,745.454,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2543.594204858932,0.0,1401.3333093500894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757.68,1757.68,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
5997.44600648778,0.0,8349.56797849914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1862.23,1862.23,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
6354.180491913811,0.0,4646.663201465567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898.85,1898.85,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
6479.161055017144,0.0,9668.679801595996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2761.74,2761.74,0.0,0.0,0,0.999999137429852,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
9423.44231604734,0.0,21447.97797733791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.054,2995.2,2697.14,0.0,0.0,0,0.999999137429852,0,0,0,0,298.054,0.0,298.054,0.0,0,0,0,0
10220.041427254962,0.0,21028.946799016663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.394,3289.8,2469.41,0.0,0.0,0,0.999999137429852,0,0,0,0,820.394,0.0,820.394,0.0,0,0,0,0
11225.27938302533,0.0,20075.767980038585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.153,3784.32,2999.16,0.0,0.0,0,0.999999137429852,0,0,0,0,785.153,0.0,785.153,0.0,0,0,0,0
12912.630340825759,0.0,20781.205845166172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831.743,3960.38,3128.64,0.0,0.0,0,0.999999137429852,0,0,0,0,831.743,0.0,831.743,0.0,0,0,0,0
13513.378496494213,0.0,19450.437403390835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.853,3663.1,2944.25,0.0,0.0,0,0.999999137429852,0,0,0,0,718.853,0.0,718.853,0.0,0,0,0,0
12499.029903260453,0.0,17813.40204077022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.04,3704.56,2694.53,0.0,0.0,0,0.999999137429852,0,0,0,0,1010.04,0.0,1010.04,0.0,0,0,0,0
12640.498369920042,0.0,17472.812185222552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.36,3602.64,2486.28,0.0,0.0,0,0.999999137429852,0,0,0,0,1116.36,0.0,1116.36,0.0,0,0,0,0
12292.715786877601,0.0,17447.510016367985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.62,3567.14,2929.52,0.0,0.0,0,0.999999137429852,0,0,0,0,637.62,0.0,637.62,0.0,0,0,0,0
12171.602006382696,0.0,18718.850613787006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.262,3856.8,3715.54,0.0,0.0,0,0.999999137429852,0,0,0,0,141.262,0.0,141.262,0.0,0,0,0,0
13159.946018471977,0.0,18898.236772885368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3842.72,3712.65,0.0,130.069,0,0.926028356131062,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
13111.920247667746,0.0,18983.04318253748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3767.34,3129.05,0.0,638.295,0,0.563015709127545,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
12854.709801518657,0.0,17833.282671288707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3411.67,2773.37,0.0,638.295,0,0.19999982748597,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
11641.094611508744,0.0,17889.128862462963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3765.32,3765.32,0.0,0.0,0,0.19999982748597,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
12847.808702282033,0.0,17755.190714590197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3198.94,3198.94,0.0,0.0,0,0.19999982748597,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
10915.252647576237,0.0,18436.91371363818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2260.87,2260.87,673.361,0.0,0,0.544109249684731,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
7714.402731304253,0.0,18859.760963020242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.25,1495.25,673.361,0.0,0,0.888215437245434,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
